Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1670772560542,11/12/2022 15:29:20,1670772540646,0,11/12/2022 15:29:00,96489,6,questionnaire-epw6,,25860268,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670772562285,11/12/2022 15:29:22,1670772542426,0,11/12/2022 15:29:02,96489,6,questionnaire-epw6,,25860268,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1670772562346,11/12/2022 15:29:22,1670772542427,0,11/12/2022 15:29:02,96489,6,questionnaire-epw6,,25860268,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1670772562346,11/12/2022 15:29:22,1670772542427,0,11/12/2022 15:29:02,96489,6,questionnaire-epw6,,25860268,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,1781
1,1670772739519,11/12/2022 15:32:19,1670772738576,0,11/12/2022 15:32:18,96489,6,questionnaire-epw6,,25860298,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1920x969,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670772747574,11/12/2022 15:32:27,1670772746612,0,11/12/2022 15:32:26,96489,6,questionnaire-epw6,,25860298,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1903x969,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1670772747711,11/12/2022 15:32:27,1670772746615,0,11/12/2022 15:32:26,96489,6,questionnaire-epw6,,25860298,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1903x969,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1670772747711,11/12/2022 15:32:27,1670772746615,0,11/12/2022 15:32:26,96489,6,questionnaire-epw6,,25860298,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1903x969,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,8039
1,1670772763163,11/12/2022 15:32:43,1670772763052,0,11/12/2022 15:32:43,96489,6,questionnaire-epw6,,25860309,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670772767910,11/12/2022 15:32:47,1670772767713,0,11/12/2022 15:32:47,96489,6,questionnaire-epw6,,25860309,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1670772768016,11/12/2022 15:32:48,1670772767715,0,11/12/2022 15:32:47,96489,6,questionnaire-epw6,,25860309,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
