Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1670772795041,11/12/2022 15:33:15,1670772795289,0,11/12/2022 15:33:15,96489,6,questionnaire-mcxd,,25860328,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,urn-bonus,consent_form,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,BEGIN QUESTIONNAIRE,
2,1670772801729,11/12/2022 15:33:21,1670772802033,0,11/12/2022 15:33:22,96489,6,questionnaire-mcxd,,25860328,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,consent_form,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-1-1,I consent
3,1670772801822,11/12/2022 15:33:21,1670772802036,0,11/12/2022 15:33:22,96489,6,questionnaire-mcxd,,25860328,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,consent_form,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-1-1-quantised,1
4,1670772801822,11/12/2022 15:33:21,1670772802037,0,11/12/2022 15:33:22,96489,6,questionnaire-mcxd,,25860328,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,consent_form,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,END QUESTIONNAIRE,6748
1,1670772800949,11/12/2022 15:33:20,1670772800471,0,11/12/2022 15:33:20,96489,6,questionnaire-mcxd,,25860331,63654019aa8c8104b65bbd2b,7647673,,complete,,6395f83a389ed946f1592c46,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x937,rdk-finalfeed,consent_form,4,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670772810383,11/12/2022 15:33:30,1670772809971,0,11/12/2022 15:33:29,96489,6,questionnaire-mcxd,,25860331,63654019aa8c8104b65bbd2b,7647673,,complete,,6395f83a389ed946f1592c46,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x937,rdk-finalfeed,consent_form,4,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,No,consent-1-1,I consent
3,1670772810463,11/12/2022 15:33:30,1670772809972,0,11/12/2022 15:33:29,96489,6,questionnaire-mcxd,,25860331,63654019aa8c8104b65bbd2b,7647673,,complete,,6395f83a389ed946f1592c46,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x937,rdk-finalfeed,consent_form,4,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,No,consent-1-1-quantised,1
4,1670772810463,11/12/2022 15:33:30,1670772809972,0,11/12/2022 15:33:29,96489,6,questionnaire-mcxd,,25860331,63654019aa8c8104b65bbd2b,7647673,,complete,,6395f83a389ed946f1592c46,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x937,rdk-finalfeed,consent_form,4,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,No,END QUESTIONNAIRE,9501
1,1670772994446,11/12/2022 15:36:34,1670772994366,0,11/12/2022 15:36:34,96489,6,questionnaire-mcxd,,25860414,5ec439fc21dd591193d88d35,7647692,,complete,,6395f8fc79018e3542d33a11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1329x694,rdk-bonus,consent_form,4,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,,,rdk-bonus,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670773012988,11/12/2022 15:36:52,1670773012937,0,11/12/2022 15:36:52,96489,6,questionnaire-mcxd,,25860414,5ec439fc21dd591193d88d35,7647692,,complete,,6395f8fc79018e3542d33a11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1329x694,rdk-bonus,consent_form,4,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,,,rdk-bonus,,,,,,,,consented,No,consent-1-1,I consent
3,1670773013049,11/12/2022 15:36:53,1670773012939,0,11/12/2022 15:36:52,96489,6,questionnaire-mcxd,,25860414,5ec439fc21dd591193d88d35,7647692,,complete,,6395f8fc79018e3542d33a11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1329x694,rdk-bonus,consent_form,4,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,,,rdk-bonus,,,,,,,,consented,No,consent-1-1-quantised,1
