Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1670773758727,11/12/2022 15:49:18,1670773758759,0,11/12/2022 15:49:18,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1440x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670773768218,11/12/2022 15:49:28,1670773768306,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670773768273,11/12/2022 15:49:28,1670773768309,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670773768273,11/12/2022 15:49:28,1670773768309,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,9550
1,1670774085974,11/12/2022 15:54:45,1670774086098,0,11/12/2022 15:54:46,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774101163,11/12/2022 15:55:01,1670774101315,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774101251,11/12/2022 15:55:01,1670774101316,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,Some of them were impossible to see!
4,1670774101251,11/12/2022 15:55:01,1670774101316,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,15219
1,1670774092452,11/12/2022 15:54:52,1670774092348,0,11/12/2022 15:54:52,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1135x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774098028,11/12/2022 15:54:58,1670774097953,0,11/12/2022 15:54:57,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1120x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
