Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1670773224855,11/12/2022 15:40:24,1670773224443,0,11/12/2022 15:40:24,96489,6,questionnaire-vwo4,,25860493,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,rdk-posneg,debriefing,4,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670773306214,11/12/2022 15:41:46,1670773305973,0,11/12/2022 15:41:45,96489,6,questionnaire-vwo4,,25860493,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,rdk-posneg,debriefing,4,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,engagement-value,1
3,1670773306313,11/12/2022 15:41:46,1670773305974,0,11/12/2022 15:41:45,96489,6,questionnaire-vwo4,,25860493,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,rdk-posneg,debriefing,4,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,response_comment,"I seem to only be able to select ""completely engaged"" or ""not engaged at all"", I can't seem to select anything in the middle, I would say I was about 70% engaged."
4,1670773306313,11/12/2022 15:41:46,1670773305975,0,11/12/2022 15:41:45,96489,6,questionnaire-vwo4,,25860493,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,rdk-posneg,debriefing,4,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,No,END QUESTIONNAIRE,81532
1,1670773225867,11/12/2022 15:40:25,1670773226131,0,11/12/2022 15:40:26,96489,6,questionnaire-vwo4,,25860495,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,urn-bonus,debriefing,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,BEGIN QUESTIONNAIRE,
2,1670773232220,11/12/2022 15:40:32,1670773232514,0,11/12/2022 15:40:32,96489,6,questionnaire-vwo4,,25860495,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,debriefing,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,engagement-value,1
3,1670773232296,11/12/2022 15:40:32,1670773232517,0,11/12/2022 15:40:32,96489,6,questionnaire-vwo4,,25860495,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,debriefing,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,response_comment,
4,1670773232296,11/12/2022 15:40:32,1670773232518,0,11/12/2022 15:40:32,96489,6,questionnaire-vwo4,,25860495,5fa89ac0ca5626772b0d5fe6,7647672,,complete,,6395f833389ed946f1592c44,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-bonus,debriefing,4,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,END QUESTIONNAIRE,6387
1,1670773369417,11/12/2022 15:42:49,1670773370033,0,11/12/2022 15:42:50,96489,6,questionnaire-vwo4,,25860570,5ffa0b24faf88d3956789842,7647685,,complete,,6395f8b102421302920c6793,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1536x864,1707x837,urn-posneg,debriefing,4,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670773379588,11/12/2022 15:42:59,1670773380247,0,11/12/2022 15:43:00,96489,6,questionnaire-vwo4,,25860570,5ffa0b24faf88d3956789842,7647685,,complete,,6395f8b102421302920c6793,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1536x864,1707x837,urn-posneg,debriefing,4,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,engagement-value,1
