Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer
1,1670773246105,11/12/2022 15:40:46,1670773243667,0,11/12/2022 15:40:43,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1297,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1670773247619,11/12/2022 15:40:47,1670773245250,0,11/12/2022 15:40:45,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1297,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1565.6000000238419,,,,,0,1,0,,,,,,fullscreen,,
3,1670773247705,11/12/2022 15:40:47,1670773245253,0,11/12/2022 15:40:45,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1297,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,30.76599999999985,,,,,0,1,0,,,1,,,fullscreen,,
4,1670773262356,11/12/2022 15:41:02,1670773259993,0,11/12/2022 15:40:59,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,14730,,,,,0,1,0,,,,,,instructions,,
5,1670773264159,11/12/2022 15:41:04,1670773261787,0,11/12/2022 15:41:01,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,1,Screen 2,responseB,response_keyboard,1783.8000000715256,,,right,1,1,0,0,,,,,1,practise trials,coherence-70-rr.mp4,right
6,1670773264863,11/12/2022 15:41:04,1670773262491,0,11/12/2022 15:41:02,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,3,fixation,fixation,timelimit_screen,491.24099999999817,,,,,0,1,0,,,1,,1,practise trials,coherence-70-rr.mp4,right
7,1670773267030,11/12/2022 15:41:07,1670773264660,0,11/12/2022 15:41:04,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,1,Screen 2,responseA,response_keyboard,2156.5,,,up,1,0,1,0,,,,,1,practise trials,coherence-30-rr.mp4,right
8,1670773267681,11/12/2022 15:41:07,1670773265314,0,11/12/2022 15:41:05,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,3,fixation,fixation,timelimit_screen,491.33599999999933,,,,,0,1,0,,,1,,1,practise trials,coherence-30-rr.mp4,right
9,1670773268728,11/12/2022 15:41:08,1670773266351,0,11/12/2022 15:41:06,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,3,1,Screen 2,responseA,response_keyboard,1027.1999999284744,,,up,1,1,0,0,,,,,1,practise trials,coherence-50-uu.mp4,up
10,1670773269485,11/12/2022 15:41:09,1670773267032,0,11/12/2022 15:41:07,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,3,3,fixation,fixation,timelimit_screen,490.09400000000096,,,,,0,1,0,,,1,,1,practise trials,coherence-50-uu.mp4,up
11,1670773271118,11/12/2022 15:41:11,1670773268747,0,11/12/2022 15:41:08,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,4,1,Screen 2,responseB,response_keyboard,1706.7999999523163,,,left,1,1,0,0,,,,,1,practise trials,coherence-30-ll.mp4,left
12,1670773271797,11/12/2022 15:41:11,1670773269426,0,11/12/2022 15:41:09,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,4,3,fixation,fixation,timelimit_screen,490.2609999999986,,,,,0,1,0,,,1,,1,practise trials,coherence-30-ll.mp4,left
13,1670773272891,11/12/2022 15:41:12,1670773270512,0,11/12/2022 15:41:10,96489,6,task-2ywa,,25860505,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1440,rdk-vanilla,random-dots-3-vanilla,4,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,5,1,Screen 2,responseA,response_keyboard,1074.2000000476837,,,down,1,1,0,0,,,,,1,practise trials,coherence-90-dd.mp4,down
