Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
1,1670773501010,11/12/2022 15:45:01,1670773500909,0,11/12/2022 15:45:00,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1670773502667,11/12/2022 15:45:02,1670773502622,0,11/12/2022 15:45:02,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1650,,,,,0,1,0,,,,,,fullscreen,,,,,,,
3,1670773502783,11/12/2022 15:45:02,1670773502632,0,11/12/2022 15:45:02,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.611999999999625,,,,,0,1,0,,,1,,,fullscreen,,,,,,,
4,1670773511412,11/12/2022 15:45:11,1670773511373,0,11/12/2022 15:45:11,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,Zone1,continue_keyboard,8695.300000000047,,,,,0,1,0,,,,,,instructions,YellowBlueRedGreen.png,,,,,,
5,1670773549592,11/12/2022 15:45:49,1670773549554,0,11/12/2022 15:45:49,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,continue_keyboard,38164.80000000005,,,,,0,1,0,,,,,,instructions,YellowBlueRedGreen.png,,,,,,
6,1670773557200,11/12/2022 15:45:57,1670773557142,0,11/12/2022 15:45:57,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,1,1,Screen 2,responseA,response_keyboard,7522.600000000093,,,Red,1,0,1,0,,,,,1,practise trials,YELLOWred.jpg,Yellow,,Red,Green,Yellow,Blue
7,1670773561740,11/12/2022 15:46:01,1670773561704,0,11/12/2022 15:46:01,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,2,1,Screen 2,responseB,response_keyboard,4352.300000000047,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEyellow.jpg,Blue,,Red,Green,Yellow,Blue
8,1670773563590,11/12/2022 15:46:03,1670773563561,0,11/12/2022 15:46:03,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,3,1,Screen 2,responseA,response_keyboard,1651.3999999999069,,,Red,1,1,0,0,,,,,1,practise trials,REDgreen.jpg,Red,,Red,Green,Yellow,Blue
9,1670773567752,11/12/2022 15:46:07,1670773567710,0,11/12/2022 15:46:07,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,4,1,Screen 2,responseA,response_keyboard,3937.8000000000466,,,Green,1,1,0,0,,,,,1,practise trials,GREENred.jpg,Green,,Red,Green,Yellow,Blue
10,1670773569637,11/12/2022 15:46:09,1670773569592,0,11/12/2022 15:46:09,96489,6,task-3kpz,,25860634,55146e64fdf99b253d5b1c5d,7647734,,complete,,6395fae1f8679a36678bef01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,16,5,1,Screen 2,responseA,response_keyboard,1656.8000000000466,,,Red,1,1,0,0,,,,,1,practise trials,REDred.jpg,Red,,Red,Green,Yellow,Blue
