Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
1,1670774240135,11/12/2022 15:57:20,1670774240119,0,11/12/2022 15:57:20,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x754,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1670774243079,11/12/2022 15:57:23,1670774243113,0,11/12/2022 15:57:23,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x754,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2931.5999999998603,,,,,0,1,0,,,,,,fullscreen,,,,,,,
3,1670774248083,11/12/2022 15:57:28,1670774243132,0,11/12/2022 15:57:23,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x754,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.63000000000011,,,,,0,1,0,,,1,,,fullscreen,,,,,,,
4,1670774254972,11/12/2022 15:57:34,1670774255006,0,11/12/2022 15:57:35,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,Zone1,continue_keyboard,6858.100000000093,,,,,0,1,0,,,,,,instructions,RedGreenBlueYellow.png,,,,,,
5,1670774259720,11/12/2022 15:57:39,1670774259748,0,11/12/2022 15:57:39,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,continue_keyboard,4730.59999999986,,,,,0,1,0,,,,,,instructions,RedGreenBlueYellow.png,,,,,,
6,1670774278426,11/12/2022 15:57:58,1670774265254,0,11/12/2022 15:57:45,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,1,1,Screen 2,responseA,response_keyboard,5459.299999999814,,,Blue,1,0,1,0,,,,,1,practise trials,YELLOWblue.jpg,Yellow,,Blue,Yellow,Red,Green
7,1670774278426,11/12/2022 15:57:58,1670774270939,0,11/12/2022 15:57:50,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,2,1,Screen 2,responseB,response_keyboard,5463.100000000093,,,Red,1,0,1,0,,,,,1,practise trials,BLUEred.jpg,Blue,,Blue,Yellow,Red,Green
8,1670774282647,11/12/2022 15:58:02,1670774282669,0,11/12/2022 15:58:02,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,3,1,Screen 2,responseB,response_keyboard,2574,,,Green,1,0,1,0,,,,,1,practise trials,YELLOWgreen.jpg,Yellow,,Blue,Yellow,Red,Green
9,1670774293830,11/12/2022 15:58:13,1670774293858,0,11/12/2022 15:58:13,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,3,4,1,Screen 2,responseA,response_keyboard,10982,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWyellow.jpg,Yellow,,Blue,Yellow,Red,Green
10,1670774299858,11/12/2022 15:58:19,1670774299895,0,11/12/2022 15:58:19,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,5,1,Screen 2,responseB,response_keyboard,5837.5,,,Green,1,0,1,0,,,,,1,practise trials,BLUEgreen.jpg,Blue,,Blue,Yellow,Red,Green
