Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ShowProgressBar,ShowProgressBar1,ANSWER,Left,Right,Up,Down
1,1670773158118,11/12/2022 15:39:18,1670773158231,0,11/12/2022 15:39:18,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1670773160723,11/12/2022 15:39:20,1670773160740,0,11/12/2022 15:39:20,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2470.2999999998137,,,,,0,1,0,,,,,,fullscreen,,,,,,,,,
3,1670773160791,11/12/2022 15:39:20,1670773160757,0,11/12/2022 15:39:20,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,20.820000000000164,,,,,0,1,0,,,1,,,fullscreen,,,,,,,,,
4,1670773189225,11/12/2022 15:39:49,1670773189381,0,11/12/2022 15:39:49,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,28576.89999999944,,,,,0,1,0,,,,,,instructions,BlueGreenRedYellow.png,,,,,,,,
5,1670773198994,11/12/2022 15:39:58,1670773199134,0,11/12/2022 15:39:59,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,7,1,1,Screen 2,responseB,response_keyboard,9691.199999999255,,,Green,1,1,0,0,,,,,1,practise trials,GREENyellow.jpg,Green,,1,,Red,Yellow,Blue,Green
6,1670773200424,11/12/2022 15:40:00,1670773200555,0,11/12/2022 15:40:00,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,2,1,Screen 2,responseA,response_keyboard,1200.0999999996275,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWblue.jpg,Yellow,,1,,Red,Yellow,Blue,Green
7,1670773201606,11/12/2022 15:40:01,1670773201759,0,11/12/2022 15:40:01,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,10,3,1,Screen 2,responseA,response_keyboard,970.6000000005588,,,Red,1,1,0,0,,,,,1,practise trials,REDblue.jpg,Red,,1,,Red,Yellow,Blue,Green
8,1670773203230,11/12/2022 15:40:03,1670773203376,0,11/12/2022 15:40:03,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,4,1,Screen 2,responseB,response_keyboard,1378.7999999998137,,,Green,1,0,1,0,,,,,1,practise trials,REDgreen.jpg,Red,,1,,Red,Yellow,Blue,Green
9,1670773204787,11/12/2022 15:40:04,1670773204945,0,11/12/2022 15:40:04,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,5,1,Screen 2,responseA,response_keyboard,1346.2999999998137,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWred.jpg,Yellow,,1,,Red,Yellow,Blue,Green
10,1670773206787,11/12/2022 15:40:06,1670773206945,0,11/12/2022 15:40:06,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,6,1,Screen 2,responseB,response_keyboard,1762.9000000003725,,,Green,1,1,0,0,,,,,1,practise trials,GREENblue.jpg,Green,,1,,Red,Yellow,Blue,Green
11,1670773208000,11/12/2022 15:40:08,1670773208157,0,11/12/2022 15:40:08,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,7,1,Screen 2,responseA,response_keyboard,976.2000000001863,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWgreen.jpg,Yellow,,1,,Red,Yellow,Blue,Green
12,1670773209178,11/12/2022 15:40:09,1670773209338,0,11/12/2022 15:40:09,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,8,1,Screen 2,responseB,response_keyboard,949.7000000001863,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEred.jpg,Blue,,1,,Red,Yellow,Blue,Green
13,1670773210136,11/12/2022 15:40:10,1670773210286,0,11/12/2022 15:40:10,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,9,1,Screen 2,responseB,response_keyboard,710.2999999998137,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEgreen.jpg,Blue,,1,,Red,Yellow,Blue,Green
14,1670773211222,11/12/2022 15:40:11,1670773211376,0,11/12/2022 15:40:11,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,10,1,Screen 2,responseA,response_keyboard,862.0999999996275,,,Red,1,1,0,0,,,,,1,practise trials,REDyellow.jpg,Red,,1,,Red,Yellow,Blue,Green
15,1670773212217,11/12/2022 15:40:12,1670773212365,0,11/12/2022 15:40:12,96489,6,task-lupf,,25860467,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,18,11,1,Screen 2,responseB,response_keyboard,768.2000000001863,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEblue.jpg,Blue,,1,,Red,Yellow,Blue,Green
