Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
1,1670773869976,11/12/2022 15:51:09,1670773869856,0,11/12/2022 15:51:09,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x705,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1670773871726,11/12/2022 15:51:11,1670773871682,0,11/12/2022 15:51:11,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x705,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1793.5,,,,,0,1,0,,,,,,fullscreen,,,,,,,
3,1670773871836,11/12/2022 15:51:11,1670773871695,0,11/12/2022 15:51:11,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x705,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.666000000000167,,,,,0,1,0,,,1,,,fullscreen,,,,,,,
4,1670773886418,11/12/2022 15:51:26,1670773886366,0,11/12/2022 15:51:26,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,Zone1,continue_keyboard,14658,,,,,0,1,0,,,,,,instructions,GreenBlueYellowRed.png,,,,,,
5,1670773913905,11/12/2022 15:51:53,1670773913869,0,11/12/2022 15:51:53,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,continue_keyboard,27493,,,,,0,1,0,,,,,,instructions,GreenBlueYellowRed.png,,,,,,
6,1670773916274,11/12/2022 15:51:56,1670773916239,0,11/12/2022 15:51:56,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,1,1,Screen 2,responseA,response_keyboard,2342.7999999970198,,,Yellow,1,0,1,0,,,,,1,practise trials,BLUEyellow.jpg,Blue,,Yellow,Red,Green,Blue
7,1670773918346,11/12/2022 15:51:58,1670773918308,0,11/12/2022 15:51:58,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,2,1,Screen 2,responseB,response_keyboard,1867.7000000029802,,,Green,1,0,1,0,,,,,1,practise trials,BLUEgreen.jpg,Blue,,Yellow,Red,Green,Blue
8,1670773924207,11/12/2022 15:52:04,1670773924165,0,11/12/2022 15:52:04,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,3,1,Screen 2,responseA,response_keyboard,5655.9000000059605,,,Red,1,0,1,0,,,,,1,practise trials,GREENred.jpg,Green,,Yellow,Red,Green,Blue
9,1670773928388,11/12/2022 15:52:08,1670773928330,0,11/12/2022 15:52:08,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,4,1,Screen 2,responseA,response_keyboard,3955.7999999970198,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWred.jpg,Yellow,,Yellow,Red,Green,Blue
10,1670773930776,11/12/2022 15:52:10,1670773930739,0,11/12/2022 15:52:10,96489,6,task-najf,,25860852,5bf0363e880a370001c65960,7647785,,complete,,6395fc560003d06c3187d301,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,5,1,Screen 2,responseB,response_keyboard,2211.5,,,Green,1,1,0,0,,,,,1,practise trials,GREENgreen.jpg,Green,,Yellow,Red,Green,Blue
