Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
1,1670849191835,12/12/2022 12:46:31,1670849189270,0,12/12/2022 12:46:29,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1350x640,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1670849193336,12/12/2022 12:46:33,1670849190803,0,12/12/2022 12:46:30,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1350x640,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1423,,,,,0,1,0,,,,,,fullscreen,,,,,,,
3,1670849193571,12/12/2022 12:46:33,1670849190823,0,12/12/2022 12:46:30,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1350x640,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.48700000000008,,,,,0,1,0,,,1,,,fullscreen,,,,,,,
4,1670849250962,12/12/2022 12:47:30,1670849248366,0,12/12/2022 12:47:28,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,57378.90000000596,,,,,0,1,0,,,,,,instructions,GreenRedYellowBlue.png,,,,,,
5,1670849253297,12/12/2022 12:47:33,1670849250755,0,12/12/2022 12:47:30,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,1,1,Screen 2,responseA,response_keyboard,2329.0999999940395,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWred.jpg,Yellow,,Yellow,Blue,Green,Red
6,1670849255902,12/12/2022 12:47:35,1670849253358,0,12/12/2022 12:47:33,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,7,2,1,Screen 2,responseB,response_keyboard,2365.7999999821186,,,Green,1,1,0,0,,,,,1,practise trials,GREENyellow.jpg,Green,,Yellow,Blue,Green,Red
7,1670849258270,12/12/2022 12:47:38,1670849255729,0,12/12/2022 12:47:35,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,3,1,Screen 2,responseB,response_keyboard,2146.5999999940395,,,Green,1,1,0,0,,,,,1,practise trials,GREENgreen.jpg,Green,,Yellow,Blue,Green,Red
8,1670849260729,12/12/2022 12:47:40,1670849258171,0,12/12/2022 12:47:38,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,4,1,Screen 2,responseB,response_keyboard,2216.5999999940395,,,Red,1,0,1,0,,,,,1,practise trials,BLUEred.jpg,Blue,,Yellow,Blue,Green,Red
9,1670849263029,12/12/2022 12:47:43,1670849260486,0,12/12/2022 12:47:40,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,5,1,Screen 2,responseA,response_keyboard,2090.199999988079,,,Blue,1,0,1,0,,,,,1,practise trials,YELLOWblue.jpg,Yellow,,Yellow,Blue,Green,Red
10,1670849266199,12/12/2022 12:47:46,1670849263652,0,12/12/2022 12:47:43,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,6,1,Screen 2,responseB,response_keyboard,2942.699999988079,,,Red,1,1,0,0,,,,,1,practise trials,REDyellow.jpg,Red,,Yellow,Blue,Green,Red
11,1670849267962,12/12/2022 12:47:47,1670849265412,0,12/12/2022 12:47:45,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,7,1,Screen 2,responseB,response_keyboard,1528.300000011921,,,Green,1,1,0,0,,,,,1,practise trials,GREENred.jpg,Green,,Yellow,Blue,Green,Red
12,1670849269847,12/12/2022 12:47:49,1670849267296,0,12/12/2022 12:47:47,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,10,8,1,Screen 2,responseB,response_keyboard,1664.199999988079,,,Red,1,1,0,0,,,,,1,practise trials,REDblue.jpg,Red,,Yellow,Blue,Green,Red
13,1670849271489,12/12/2022 12:47:51,1670849268933,0,12/12/2022 12:47:48,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,9,1,Screen 2,responseB,response_keyboard,1422.7000000178814,,,Green,1,1,0,0,,,,,1,practise trials,GREENblue.jpg,Green,,Yellow,Blue,Green,Red
14,1670849273236,12/12/2022 12:47:53,1670849270679,0,12/12/2022 12:47:50,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,10,1,Screen 2,responseB,response_keyboard,1507.699999988079,,,Red,1,1,0,0,,,,,1,practise trials,REDgreen.jpg,Red,,Yellow,Blue,Green,Red
15,1670849275018,12/12/2022 12:47:55,1670849272460,0,12/12/2022 12:47:52,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,18,11,1,Screen 2,responseA,response_keyboard,1566.4000000059605,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEblue.jpg,Blue,,Yellow,Blue,Green,Red
16,1670849276864,12/12/2022 12:47:56,1670849274313,0,12/12/2022 12:47:54,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,12,1,Screen 2,responseA,response_keyboard,1628.5,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWgreen.jpg,Yellow,,Yellow,Blue,Green,Red
17,1670849278943,12/12/2022 12:47:58,1670849276397,0,12/12/2022 12:47:56,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,16,13,1,Screen 2,responseB,response_keyboard,1865.6000000238419,,,Red,1,1,0,0,,,,,1,practise trials,REDred.jpg,Red,,Yellow,Blue,Green,Red
18,1670849281044,12/12/2022 12:48:01,1670849278505,0,12/12/2022 12:47:58,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,14,1,Screen 2,responseB,response_keyboard,1882.0999999940395,,,Green,1,0,1,0,,,,,1,practise trials,BLUEyellow.jpg,Blue,,Yellow,Blue,Green,Red
