Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ShowProgressBar,ShowProgressBar1
1,1670772989624,11/12/2022 15:36:29,1670772992862,0,11/12/2022 15:36:32,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670772991169,11/12/2022 15:36:31,1670772994399,0,11/12/2022 15:36:34,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1460.704999997688,,,,,0,1,0,,,,,,fullscreen,,,,
3,1670772991223,11/12/2022 15:36:31,1670772994411,0,11/12/2022 15:36:34,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.666999999999916,,,,,0,1,0,,,1,,,fullscreen,,,,
4,1670773004607,11/12/2022 15:36:44,1670773007872,0,11/12/2022 15:36:47,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,13424.509999997099,,,,,0,1,0,,,,,,instructions,,,,
5,1670773007430,11/12/2022 15:36:47,1670773010694,0,11/12/2022 15:36:50,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,1,Screen 2,responseB,response_keyboard,2765.895000004093,,,right,1,1,0,0,,,,,1,practise trials,coherence-70-rr.mp4,right,,1
6,1670773008120,11/12/2022 15:36:48,1670773011373,0,11/12/2022 15:36:51,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-70-rr.mp4,right,,1
7,1670773009749,11/12/2022 15:36:49,1670773013016,0,11/12/2022 15:36:53,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,1,Screen 2,responseB,response_keyboard,1609.4100000045728,,,right,1,1,0,0,,,,,1,practise trials,coherence-30-rr.mp4,right,,1
8,1670773010433,11/12/2022 15:36:50,1670773013705,0,11/12/2022 15:36:53,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-30-rr.mp4,right,,1
9,1670773011320,11/12/2022 15:36:51,1670773014584,0,11/12/2022 15:36:54,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,3,1,Screen 2,responseB,response_keyboard,843.9200000066194,,,left,1,1,0,0,,,,,1,practise trials,coherence-70-ll.mp4,left,,1
10,1670773012001,11/12/2022 15:36:52,1670773015272,0,11/12/2022 15:36:55,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,3,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-70-ll.mp4,left,,1
