Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
1,1670773017979,11/12/2022 15:36:57,1670773017152,0,11/12/2022 15:36:57,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x569,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1670773021594,11/12/2022 15:37:01,1670773020774,0,11/12/2022 15:37:00,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x569,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3579.7999997138977,,,,,0,1,0,,,,,,fullscreen,,,,,,,
3,1670773021658,11/12/2022 15:37:01,1670773020789,0,11/12/2022 15:37:00,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x569,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.657999999999447,,,,,0,1,0,,,1,,,fullscreen,,,,,,,
4,1670773042917,11/12/2022 15:37:22,1670773042174,0,11/12/2022 15:37:22,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,21369.299999713898,,,,,0,1,0,,,,,,instructions,YellowGreenRedBlue.png,,,,,,
5,1670773045531,11/12/2022 15:37:25,1670773044776,0,11/12/2022 15:37:24,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,1,Screen 2,responseB,response_keyboard,2577,,,Green,1,0,1,0,,,,,1,practise trials,BLUEgreen.jpg,Blue,,Red,Blue,Yellow,Green
6,1670773049706,11/12/2022 15:37:29,1670773047081,0,11/12/2022 15:37:27,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,18,2,1,Screen 2,responseA,response_keyboard,2094.800000190735,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEblue.jpg,Blue,,Red,Blue,Yellow,Green
7,1670773050983,11/12/2022 15:37:30,1670773050229,0,11/12/2022 15:37:30,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,3,1,Screen 2,responseB,response_keyboard,2944.5999999046326,,,Green,1,1,0,0,,,,,1,practise trials,GREENblue.jpg,Green,,Red,Blue,Yellow,Green
8,1670773052758,11/12/2022 15:37:32,1670773052002,0,11/12/2022 15:37:32,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,4,1,Screen 2,responseB,response_keyboard,1566.1999998092651,,,Yellow,1,0,1,0,,,,,1,practise trials,REDyellow.jpg,Red,,Red,Blue,Yellow,Green
9,1670773055215,11/12/2022 15:37:35,1670773054460,0,11/12/2022 15:37:34,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,5,1,Screen 2,responseB,response_keyboard,2241.0999999046326,,,Green,1,1,0,0,,,,,1,practise trials,GREENgreen.jpg,Green,,Red,Blue,Yellow,Green
10,1670773057928,11/12/2022 15:37:37,1670773057188,0,11/12/2022 15:37:37,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,6,1,Screen 2,responseB,response_keyboard,2522.5,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWblue.jpg,Yellow,,Red,Blue,Yellow,Green
11,1670773059464,11/12/2022 15:37:39,1670773058719,0,11/12/2022 15:37:38,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,3,7,1,Screen 2,responseB,response_keyboard,1318.6999998092651,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWyellow.jpg,Yellow,,Red,Blue,Yellow,Green
12,1670773061465,11/12/2022 15:37:41,1670773060723,0,11/12/2022 15:37:40,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,8,1,Screen 2,responseA,response_keyboard,1790.8000001907349,,,Red,1,1,0,0,,,,,1,practise trials,REDgreen.jpg,Red,,Red,Blue,Yellow,Green
13,1670773063073,11/12/2022 15:37:43,1670773062316,0,11/12/2022 15:37:42,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,9,1,Screen 2,responseB,response_keyboard,1384.3999996185303,,,Green,1,0,1,0,,,,,1,practise trials,BLUEred.jpg,Blue,,Red,Blue,Yellow,Green
14,1670773066474,11/12/2022 15:37:46,1670773065734,0,11/12/2022 15:37:45,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,10,1,Screen 2,responseB,response_keyboard,3203.5,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWgreen.jpg,Yellow,,Red,Blue,Yellow,Green
15,1670773068398,11/12/2022 15:37:48,1670773067642,0,11/12/2022 15:37:47,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,11,1,Screen 2,responseA,response_keyboard,1695.8999996185303,,,Blue,1,0,1,0,,,,,1,practise trials,GREENred.jpg,Green,,Red,Blue,Yellow,Green
16,1670773073179,11/12/2022 15:37:53,1670773072428,0,11/12/2022 15:37:52,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,12,1,Screen 2,responseA,response_keyboard,4581.39999961853,,,Blue,1,1,0,0,,,,,1,practise trials,BLUEyellow.jpg,Blue,,Red,Blue,Yellow,Green
17,1670773076140,11/12/2022 15:37:56,1670773075389,0,11/12/2022 15:37:55,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,16,13,1,Screen 2,responseA,response_keyboard,2759.5999999046326,,,Red,1,1,0,0,,,,,1,practise trials,REDred.jpg,Red,,Red,Blue,Yellow,Green
18,1670773077938,11/12/2022 15:37:57,1670773077177,0,11/12/2022 15:37:57,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,14,1,Screen 2,responseB,response_keyboard,1580.1999998092651,,,Yellow,1,1,0,0,,,,,1,practise trials,YELLOWred.jpg,Yellow,,Red,Blue,Yellow,Green
19,1670773080416,11/12/2022 15:38:00,1670773079662,0,11/12/2022 15:37:59,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,10,15,1,Screen 2,responseA,response_keyboard,2280.5,,,Red,1,1,0,0,,,,,1,practise trials,REDblue.jpg,Red,,Red,Blue,Yellow,Green
20,1670773082417,11/12/2022 15:38:02,1670773081644,0,11/12/2022 15:38:01,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,7,16,1,Screen 2,responseB,response_keyboard,1775.8000001907349,,,Green,1,1,0,0,,,,,1,practise trials,GREENyellow.jpg,Green,,Red,Blue,Yellow,Green
21,1670773084499,11/12/2022 15:38:04,1670773083742,0,11/12/2022 15:38:03,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,advancementZone,continue_keyboard,1896.5999999046326,,,,,0,1,0,,,,,,ready,,,,,,,
22,1670773084977,11/12/2022 15:38:04,1670773084229,0,11/12/2022 15:38:04,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,19,1,2,Screen 2,fixation,timelimit_screen,499.4079999999958,,,,,0,1,0,,,1,,,ready,,,,,,,
23,1670773086559,11/12/2022 15:38:06,1670773085780,0,11/12/2022 15:38:05,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,183,1,1,trial,responseA,response_keyboard,1530.1999998092651,,,Blue,1,1,0,0,,,,11,12,trials,BLUEyellow.jpg,Blue,,Red,Blue,Yellow,Green
24,1670773087034,11/12/2022 15:38:07,1670773086278,0,11/12/2022 15:38:06,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,183,1,3,fixation,fixation,timelimit_screen,500.55599999999686,,,,,0,1,0,,,1,11,12,trials,BLUEyellow.jpg,Blue,,Red,Blue,Yellow,Green
25,1670773089161,11/12/2022 15:38:09,1670773088411,0,11/12/2022 15:38:08,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,189,2,1,trial,responseB,response_keyboard,2113.199999809265,,,Green,1,1,0,0,,,,11,12,trials,GREENred.jpg,Green,,Red,Blue,Yellow,Green
26,1670773089661,11/12/2022 15:38:09,1670773088911,0,11/12/2022 15:38:08,96489,6,task-td7i,,25860424,5fe8fc84e44df481db23e5b2,7647693,,complete,,6395f901a15fc13cfaca70cd,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x720,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,189,2,3,fixation,fixation,timelimit_screen,500.6219999999885,,,,,0,1,0,,,1,11,12,trials,GREENred.jpg,Green,,Red,Blue,Yellow,Green
