Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1670772557912,11/12/2022 15:29:17,1670772538000,0,11/12/2022 15:28:58,96489,6,task-vd7p,,25860267,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,str-eyes,consent-form-data-task,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670772559630,11/12/2022 15:29:19,1670772539770,0,11/12/2022 15:28:59,96489,6,task-vd7p,,25860267,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,str-eyes,consent-form-data-task,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,1754.5,,,,,0,1,0,,,,,,form
3,1670772559709,11/12/2022 15:29:19,1670772539772,0,11/12/2022 15:28:59,96489,6,task-vd7p,,25860267,60425a37f2994f0e28bf29da,7647659,,complete,,6395f743a5ad0fc36e592c45,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,str-eyes,consent-form-data-task,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,1773,,,,,0,1,0,,,,,,
1,1670772735024,11/12/2022 15:32:15,1670772734050,0,11/12/2022 15:32:14,96489,6,task-vd7p,,25860297,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1920x969,rdk-eyes,consent-form-data-task,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670772737960,11/12/2022 15:32:17,1670772737043,0,11/12/2022 15:32:17,96489,6,task-vd7p,,25860297,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1920x969,rdk-eyes,consent-form-data-task,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2811.5,,,,,0,1,0,,,,,,form
3,1670772738073,11/12/2022 15:32:18,1670772737048,0,11/12/2022 15:32:17,96489,6,task-vd7p,,25860297,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1920x969,rdk-eyes,consent-form-data-task,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2998,,,,,0,1,0,,,,,,
1,1670772749716,11/12/2022 15:32:29,1670772748543,0,11/12/2022 15:32:28,96489,6,task-vd7p,,25860304,631c780f9c470a68068955ab,7647665,,complete,,6395f7feb337d2e635fcb44d,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x714,urn-finalfeed,consent-form-data-task,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670772761796,11/12/2022 15:32:41,1670772760613,0,11/12/2022 15:32:40,96489,6,task-vd7p,,25860304,631c780f9c470a68068955ab,7647665,,complete,,6395f7feb337d2e635fcb44d,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x714,urn-finalfeed,consent-form-data-task,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,12040.700000047684,,,,,0,1,0,,,,,,form
3,1670772761865,11/12/2022 15:32:41,1670772760617,0,11/12/2022 15:32:40,96489,6,task-vd7p,,25860304,631c780f9c470a68068955ab,7647665,,complete,,6395f7feb337d2e635fcb44d,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x714,urn-finalfeed,consent-form-data-task,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,,,END TASK,,,,,12073,,,,,0,1,0,,,,,,
1,1670772759342,11/12/2022 15:32:39,1670772759251,0,11/12/2022 15:32:39,96489,6,task-vd7p,,25860308,6137a227b0ebb2e3e5b26b79,7647664,,complete,,6395f7a418f37c1a17d33a64,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,rdk-posneg,consent-form-data-task,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,,,rdk-posneg,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
