Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1666104825965,18/10/2022 14:53:45,1666104825187,1,18/10/2022 15:53:45,99963,4,questionnaire-7wy6,,24658199,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1536x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666104828193,18/10/2022 14:53:48,1666104827435,1,18/10/2022 15:53:47,99963,4,questionnaire-7wy6,,24658199,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1519x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666104828281,18/10/2022 14:53:48,1666104827438,1,18/10/2022 15:53:47,99963,4,questionnaire-7wy6,,24658199,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1519x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666104828281,18/10/2022 14:53:48,1666104827438,1,18/10/2022 15:53:47,99963,4,questionnaire-7wy6,,24658199,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1519x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,2251
1,1666104854842,18/10/2022 14:54:14,1666104856250,1,18/10/2022 15:54:16,99963,4,questionnaire-7wy6,,24658228,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666104861390,18/10/2022 14:54:21,1666104862864,1,18/10/2022 15:54:22,99963,4,questionnaire-7wy6,,24658228,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666104861452,18/10/2022 14:54:21,1666104862865,1,18/10/2022 15:54:22,99963,4,questionnaire-7wy6,,24658228,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666104861452,18/10/2022 14:54:21,1666104862865,1,18/10/2022 15:54:22,99963,4,questionnaire-7wy6,,24658228,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,6615
1,1666104886063,18/10/2022 14:54:46,1666104905393,1,18/10/2022 15:55:05,99963,4,questionnaire-7wy6,,24658252,5edf8825b08588254cbe2d90,7281201,,complete,,634ebe04a65a4f5d12f5b2fe,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x714,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666104891623,18/10/2022 14:54:51,1666104910983,1,18/10/2022 15:55:10,99963,4,questionnaire-7wy6,,24658252,5edf8825b08588254cbe2d90,7281201,,complete,,634ebe04a65a4f5d12f5b2fe,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x714,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666104891698,18/10/2022 14:54:51,1666104910984,1,18/10/2022 15:55:10,99963,4,questionnaire-7wy6,,24658252,5edf8825b08588254cbe2d90,7281201,,complete,,634ebe04a65a4f5d12f5b2fe,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x714,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666104891698,18/10/2022 14:54:51,1666104910984,1,18/10/2022 15:55:10,99963,4,questionnaire-7wy6,,24658252,5edf8825b08588254cbe2d90,7281201,,complete,,634ebe04a65a4f5d12f5b2fe,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x714,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,5591
1,1666104919642,18/10/2022 14:55:19,1666104919248,1,18/10/2022 15:55:19,99963,4,questionnaire-7wy6,,24658285,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666104924868,18/10/2022 14:55:24,1666104924534,1,18/10/2022 15:55:24,99963,4,questionnaire-7wy6,,24658285,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,No,consent-data-1-1,I consent
3,1666104924961,18/10/2022 14:55:24,1666104924535,1,18/10/2022 15:55:24,99963,4,questionnaire-7wy6,,24658285,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666104924961,18/10/2022 14:55:24,1666104924535,1,18/10/2022 15:55:24,99963,4,questionnaire-7wy6,,24658285,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,No,END QUESTIONNAIRE,5287
1,1666778145355,26/10/2022 09:55:45,1666778145993,1,26/10/2022 10:55:45,99963,4,questionnaire-7wy6,,24820234,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778150143,26/10/2022 09:55:50,1666778150825,1,26/10/2022 10:55:50,99963,4,questionnaire-7wy6,,24820234,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778150212,26/10/2022 09:55:50,1666778150826,1,26/10/2022 10:55:50,99963,4,questionnaire-7wy6,,24820234,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778150212,26/10/2022 09:55:50,1666778150826,1,26/10/2022 10:55:50,99963,4,questionnaire-7wy6,,24820234,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,4833
1,1666778307230,26/10/2022 09:58:27,1666778307666,1,26/10/2022 10:58:27,99963,4,questionnaire-7wy6,,24820267,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,urn-bonus,consent-form-data,2,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,BEGIN QUESTIONNAIRE,
2,1666778311925,26/10/2022 09:58:31,1666778312395,1,26/10/2022 10:58:32,99963,4,questionnaire-7wy6,,24820267,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent-form-data,2,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-data-1-1,I consent
3,1666778312000,26/10/2022 09:58:32,1666778312397,1,26/10/2022 10:58:32,99963,4,questionnaire-7wy6,,24820267,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent-form-data,2,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-data-1-1-quantised,1
4,1666778312000,26/10/2022 09:58:32,1666778312397,1,26/10/2022 10:58:32,99963,4,questionnaire-7wy6,,24820267,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent-form-data,2,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,END QUESTIONNAIRE,4731
1,1666778393535,26/10/2022 09:59:53,1666778391466,1,26/10/2022 10:59:51,99963,4,questionnaire-7wy6,,24820293,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1460x731,str-progress,consent-form-data,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778402536,26/10/2022 10:00:02,1666778400514,1,26/10/2022 11:00:00,99963,4,questionnaire-7wy6,,24820293,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,consent-form-data,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778402625,26/10/2022 10:00:02,1666778400516,1,26/10/2022 11:00:00,99963,4,questionnaire-7wy6,,24820293,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,consent-form-data,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778402625,26/10/2022 10:00:02,1666778400516,1,26/10/2022 11:00:00,99963,4,questionnaire-7wy6,,24820293,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,consent-form-data,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,9050
1,1666778517574,26/10/2022 10:01:57,1666778517467,1,26/10/2022 11:01:57,99963,4,questionnaire-7wy6,,24820325,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x726,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778521429,26/10/2022 10:02:01,1666778521184,1,26/10/2022 11:02:01,99963,4,questionnaire-7wy6,,24820325,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x726,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778521491,26/10/2022 10:02:01,1666778521185,1,26/10/2022 11:02:01,99963,4,questionnaire-7wy6,,24820325,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x726,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778521491,26/10/2022 10:02:01,1666778521186,1,26/10/2022 11:02:01,99963,4,questionnaire-7wy6,,24820325,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x726,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,3719
1,1666778528173,26/10/2022 10:02:08,1666778529005,1,26/10/2022 11:02:09,99963,4,questionnaire-7wy6,,24820332,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x569,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778536737,26/10/2022 10:02:16,1666778537539,1,26/10/2022 11:02:17,99963,4,questionnaire-7wy6,,24820332,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1263x569,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778536811,26/10/2022 10:02:16,1666778537541,1,26/10/2022 11:02:17,99963,4,questionnaire-7wy6,,24820332,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1263x569,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778536811,26/10/2022 10:02:16,1666778537541,1,26/10/2022 11:02:17,99963,4,questionnaire-7wy6,,24820332,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1263x569,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,8536
1,1666778584268,26/10/2022 10:03:04,1666778584553,1,26/10/2022 11:03:04,99963,4,questionnaire-7wy6,,24820357,59e89bb7e75b450001a69461,7329326,,complete,,635905a539c4c1b5bc141099,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1283x920,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778596932,26/10/2022 10:03:16,1666778597243,1,26/10/2022 11:03:17,99963,4,questionnaire-7wy6,,24820357,59e89bb7e75b450001a69461,7329326,,complete,,635905a539c4c1b5bc141099,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1266x920,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,No,consent-data-1-1,I consent
3,1666778597192,26/10/2022 10:03:17,1666778597245,1,26/10/2022 11:03:17,99963,4,questionnaire-7wy6,,24820357,59e89bb7e75b450001a69461,7329326,,complete,,635905a539c4c1b5bc141099,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1266x920,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778597192,26/10/2022 10:03:17,1666778597245,1,26/10/2022 11:03:17,99963,4,questionnaire-7wy6,,24820357,59e89bb7e75b450001a69461,7329326,,complete,,635905a539c4c1b5bc141099,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1266x920,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,No,END QUESTIONNAIRE,12692
1,1666778632335,26/10/2022 10:03:52,1666778633441,1,26/10/2022 11:03:53,99963,4,questionnaire-7wy6,,24820366,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778635901,26/10/2022 10:03:55,1666778637011,1,26/10/2022 11:03:57,99963,4,questionnaire-7wy6,,24820366,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778635986,26/10/2022 10:03:55,1666778637011,1,26/10/2022 11:03:57,99963,4,questionnaire-7wy6,,24820366,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778635986,26/10/2022 10:03:55,1666778637012,1,26/10/2022 11:03:57,99963,4,questionnaire-7wy6,,24820366,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1903x969,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,3571
1,1666778638830,26/10/2022 10:03:58,1666778638708,1,26/10/2022 11:03:58,99963,4,questionnaire-7wy6,,24820369,57719c19b425c40001433b1f,7329325,,complete,,63590599bc7e2b7061650454,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1280x720,1280x601,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778642934,26/10/2022 10:04:02,1666778642764,1,26/10/2022 11:04:02,99963,4,questionnaire-7wy6,,24820369,57719c19b425c40001433b1f,7329325,,complete,,63590599bc7e2b7061650454,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1280x720,1263x601,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778643035,26/10/2022 10:04:03,1666778642765,1,26/10/2022 11:04:02,99963,4,questionnaire-7wy6,,24820369,57719c19b425c40001433b1f,7329325,,complete,,63590599bc7e2b7061650454,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1280x720,1263x601,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778643035,26/10/2022 10:04:03,1666778642765,1,26/10/2022 11:04:02,99963,4,questionnaire-7wy6,,24820369,57719c19b425c40001433b1f,7329325,,complete,,63590599bc7e2b7061650454,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1280x720,1263x601,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,4057
1,1666778648512,26/10/2022 10:04:08,1666778648368,1,26/10/2022 11:04:08,99963,4,questionnaire-7wy6,,24820376,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1536x722,str-bonus,consent-form-data,2,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778653289,26/10/2022 10:04:13,1666778653138,1,26/10/2022 11:04:13,99963,4,questionnaire-7wy6,,24820376,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,consent-form-data,2,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778653533,26/10/2022 10:04:13,1666778653139,1,26/10/2022 11:04:13,99963,4,questionnaire-7wy6,,24820376,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,consent-form-data,2,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778653533,26/10/2022 10:04:13,1666778653139,1,26/10/2022 11:04:13,99963,4,questionnaire-7wy6,,24820376,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,consent-form-data,2,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,4771
1,1666778657497,26/10/2022 10:04:17,1666778656914,1,26/10/2022 11:04:16,99963,4,questionnaire-7wy6,,24820386,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1360x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778669564,26/10/2022 10:04:29,1666778669025,1,26/10/2022 11:04:29,99963,4,questionnaire-7wy6,,24820386,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1,I consent
3,1666778669635,26/10/2022 10:04:29,1666778669026,1,26/10/2022 11:04:29,99963,4,questionnaire-7wy6,,24820386,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-data-1-1-quantised,1
4,1666778669635,26/10/2022 10:04:29,1666778669026,1,26/10/2022 11:04:29,99963,4,questionnaire-7wy6,,24820386,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,12112
1,1666778662520,26/10/2022 10:04:22,1666778662123,1,26/10/2022 11:04:22,99963,4,questionnaire-7wy6,,24820388,5d8125f63d05eb0001731115,7329340,,complete,,635905d7b4f91b23bb1a54b6,computer,Desktop or Laptop,Windows 10,Opera 91.0.4516.77,1920x1080,1384x691,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778669907,26/10/2022 10:04:29,1666778669530,1,26/10/2022 11:04:29,99963,4,questionnaire-7wy6,,24820388,5d8125f63d05eb0001731115,7329340,,complete,,635905d7b4f91b23bb1a54b6,computer,Desktop or Laptop,Windows 10,Opera 91.0.4516.77,1920x1080,1369x691,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,consent-data-1-1,I consent
