Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1666778116068,26/10/2022 09:55:16,1666778116693,1,26/10/2022 10:55:16,99963,4,questionnaire-mcxd,,24820230,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,consent_form,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778135763,26/10/2022 09:55:35,1666778136453,1,26/10/2022 10:55:36,99963,4,questionnaire-mcxd,,24820230,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent_form,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-1-1,I consent
3,1666778135867,26/10/2022 09:55:35,1666778136454,1,26/10/2022 10:55:36,99963,4,questionnaire-mcxd,,24820230,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent_form,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,consent-1-1-quantised,1
4,1666778135867,26/10/2022 09:55:35,1666778136454,1,26/10/2022 10:55:36,99963,4,questionnaire-mcxd,,24820230,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1691x817,rdk-posneg,consent_form,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,19761
1,1666778288599,26/10/2022 09:58:08,1666778289046,1,26/10/2022 10:58:09,99963,4,questionnaire-mcxd,,24820258,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,urn-bonus,consent_form,1,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,BEGIN QUESTIONNAIRE,
2,1666778302894,26/10/2022 09:58:22,1666778303361,1,26/10/2022 10:58:23,99963,4,questionnaire-mcxd,,24820258,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent_form,1,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-1-1,I consent
3,1666778302959,26/10/2022 09:58:22,1666778303363,1,26/10/2022 10:58:23,99963,4,questionnaire-mcxd,,24820258,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent_form,1,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,consent-1-1-quantised,1
4,1666778302959,26/10/2022 09:58:22,1666778303363,1,26/10/2022 10:58:23,99963,4,questionnaire-mcxd,,24820258,60173121d4e20d97e1b19263,7329300,,complete,,635904a4f3e3542d6fba9f11,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,urn-bonus,consent_form,1,Team Bandit,,,bandit-bonus,consented,,,,,,,,,,,,,,,,,,urn-bonus,consented,No,END QUESTIONNAIRE,14317
1,1666778372403,26/10/2022 09:59:32,1666778370342,1,26/10/2022 10:59:30,99963,4,questionnaire-mcxd,,24820283,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1460x731,str-progress,consent_form,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778386436,26/10/2022 09:59:46,1666778384412,1,26/10/2022 10:59:44,99963,4,questionnaire-mcxd,,24820283,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,consent_form,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,consent-1-1,I consent
