Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1666778521953,26/10/2022 10:02:01,1666778522585,1,26/10/2022 11:02:02,99963,4,questionnaire-vwo4,,24820327,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778527322,26/10/2022 10:02:07,1666778528003,1,26/10/2022 11:02:08,99963,4,questionnaire-vwo4,,24820327,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,engagement-value,1
3,1666778527403,26/10/2022 10:02:07,1666778528004,1,26/10/2022 11:02:08,99963,4,questionnaire-vwo4,,24820327,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,response_comment,
4,1666778527403,26/10/2022 10:02:07,1666778528004,1,26/10/2022 11:02:08,99963,4,questionnaire-vwo4,,24820327,60ef047e8969715a3db7181a,7329292,,complete,,635903d14fb2eed73a99a3ad,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x817,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,5420
1,1666778900366,26/10/2022 10:08:20,1666778897968,1,26/10/2022 11:08:17,99963,4,questionnaire-vwo4,,24820483,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1460x731,str-progress,debriefing,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778907028,26/10/2022 10:08:27,1666778904971,1,26/10/2022 11:08:24,99963,4,questionnaire-vwo4,,24820483,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,debriefing,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,engagement-value,1
3,1666778907092,26/10/2022 10:08:27,1666778904973,1,26/10/2022 11:08:24,99963,4,questionnaire-vwo4,,24820483,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,debriefing,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,response_comment,
4,1666778907092,26/10/2022 10:08:27,1666778904973,1,26/10/2022 11:08:24,99963,4,questionnaire-vwo4,,24820483,5e0e0f1af9e75055f77d4ec8,7329310,,complete,,635904fa81282429351a5493,computer,Desktop or Laptop,Windows 8.1,Chrome 106.0.0.0,1536x864,1443x731,str-progress,debriefing,1,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,7005
1,1666778899856,26/10/2022 10:08:19,1666778900657,1,26/10/2022 11:08:20,99963,4,questionnaire-vwo4,,24820484,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x569,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778912318,26/10/2022 10:08:32,1666778913171,1,26/10/2022 11:08:33,99963,4,questionnaire-vwo4,,24820484,60dc4efb2040b779f963369d,7329319,,complete,,6359051fd9336de687fd05a8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1263x569,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,engagement-value,1
