Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1666104780289,18/10/2022 14:53:00,1666104777736,1,18/10/2022 15:52:57,99963,4,task-mqly,,24658161,5f200a9ae4a314270ab24cff,7281174,,complete,,634ebda7f839fd4d4766374a,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x754,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104784532,18/10/2022 14:53:04,1666104782011,1,18/10/2022 15:53:02,99963,4,task-mqly,,24658161,5f200a9ae4a314270ab24cff,7281174,,complete,,634ebda7f839fd4d4766374a,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x754,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,4251.600000023842,,,,,0,1,0,,,,,,form
3,1666104784673,18/10/2022 14:53:04,1666104782013,1,18/10/2022 15:53:02,99963,4,task-mqly,,24658161,5f200a9ae4a314270ab24cff,7281174,,complete,,634ebda7f839fd4d4766374a,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x754,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,,,END TASK,,,,,4277,,,,,0,1,0,,,,,,
1,1666104820676,18/10/2022 14:53:40,1666104819908,1,18/10/2022 15:53:39,99963,4,task-mqly,,24658190,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1536x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104824888,18/10/2022 14:53:44,1666104824137,1,18/10/2022 15:53:44,99963,4,task-mqly,,24658190,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1536x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,4206.39999999851,,,,,0,1,0,,,,,,form
3,1666104824958,18/10/2022 14:53:44,1666104824140,1,18/10/2022 15:53:44,99963,4,task-mqly,,24658190,5ac4ddec68b65b00018d5355,7281187,,complete,,634ebdde464112eab967ba89,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1536x960,1536x819,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,4232,,,,,0,1,0,,,,,,
1,1666104828639,18/10/2022 14:53:48,1666104828558,1,18/10/2022 15:53:48,99963,4,task-mqly,,24658201,5c7bc14c5a66930001243b00,7281190,,complete,,634ebde8f4a365ddaef5b2ba,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,rdk-vanilla,consent-form-data,2,Team RDK,,rdk-vanilla,,consented,,,,,,,rdk-vanilla,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104831442,18/10/2022 14:53:51,1666104831389,1,18/10/2022 15:53:51,99963,4,task-mqly,,24658201,5c7bc14c5a66930001243b00,7281190,,complete,,634ebde8f4a365ddaef5b2ba,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,rdk-vanilla,consent-form-data,2,Team RDK,,rdk-vanilla,,consented,,,,,,,rdk-vanilla,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2769.800000011921,,,,,0,1,0,,,,,,form
3,1666104831519,18/10/2022 14:53:51,1666104831395,1,18/10/2022 15:53:51,99963,4,task-mqly,,24658201,5c7bc14c5a66930001243b00,7281190,,complete,,634ebde8f4a365ddaef5b2ba,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,rdk-vanilla,consent-form-data,2,Team RDK,,rdk-vanilla,,consented,,,,,,,rdk-vanilla,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2837,,,,,0,1,0,,,,,,
1,1666104845329,18/10/2022 14:54:05,1666104842023,1,18/10/2022 15:54:02,99963,4,task-mqly,,24658212,6349846837c4eb9c40269ba7,7281184,,complete,,634ebddc1726911ec7c084b5,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1920x1057,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,rdk-eyes,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104847955,18/10/2022 14:54:07,1666104844706,1,18/10/2022 15:54:04,99963,4,task-mqly,,24658212,6349846837c4eb9c40269ba7,7281184,,complete,,634ebddc1726911ec7c084b5,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1920x1057,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,rdk-eyes,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2652.2000000001863,,,,,0,1,0,,,,,,form
3,1666104848017,18/10/2022 14:54:08,1666104844710,1,18/10/2022 15:54:04,99963,4,task-mqly,,24658212,6349846837c4eb9c40269ba7,7281184,,complete,,634ebddc1726911ec7c084b5,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1920x1057,rdk-eyes,consent-form-data,2,Team RDK,,rdk-eyes,,consented,,,,,,,,,rdk-eyes,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2687,,,,,0,1,0,,,,,,
1,1666104849511,18/10/2022 14:54:09,1666104850948,1,18/10/2022 15:54:10,99963,4,task-mqly,,24658224,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104853819,18/10/2022 14:54:13,1666104855303,1,18/10/2022 15:54:15,99963,4,task-mqly,,24658224,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,4326.200000000186,,,,,0,1,0,,,,,,form
3,1666104853904,18/10/2022 14:54:13,1666104855306,1,18/10/2022 15:54:15,99963,4,task-mqly,,24658224,60cd17c8485db76d5acf8109,7281193,,complete,,634ebded366ded34e0e676c4,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,4358,,,,,0,1,0,,,,,,
1,1666104916413,18/10/2022 14:55:16,1666104916037,1,18/10/2022 15:55:16,99963,4,task-mqly,,24658283,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666104918651,18/10/2022 14:55:18,1666104918267,1,18/10/2022 15:55:18,99963,4,task-mqly,,24658283,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2210.2999999988824,,,,,0,1,0,,,,,,form
3,1666104918752,18/10/2022 14:55:18,1666104918270,1,18/10/2022 15:55:18,99963,4,task-mqly,,24658283,614dc0e12fd3aacd9b728f90,7281210,,complete,,634ebe30e6c6b9c1ef2d78f3,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,rdk-bonus,consent-form-data,2,Team RDK,,rdk-bonus,,consented,,,,,,,,,,,,rdk-bonus,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2233,,,,,0,1,0,,,,,,
1,1666105266497,18/10/2022 15:01:06,1666105266432,1,18/10/2022 16:01:06,99963,4,task-mqly,,24658480,6113c3ab816c53f62e7ae05b,7281283,,complete,,634ebe5ffb77fe0e9b62c0cb,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.3,1440x900,1440x900,urn-finalfeed,consent-form-data,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666105272068,18/10/2022 15:01:12,1666105272007,1,18/10/2022 16:01:12,99963,4,task-mqly,,24658480,6113c3ab816c53f62e7ae05b,7281283,,complete,,634ebe5ffb77fe0e9b62c0cb,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.3,1440x900,1440x900,urn-finalfeed,consent-form-data,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,5536,,,,,0,1,0,,,,,,form
3,1666105272135,18/10/2022 15:01:12,1666105272011,1,18/10/2022 16:01:12,99963,4,task-mqly,,24658480,6113c3ab816c53f62e7ae05b,7281283,,complete,,634ebe5ffb77fe0e9b62c0cb,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0.3,1440x900,1440x900,urn-finalfeed,consent-form-data,2,Team Bandit,,,bandit-finalfeedback,consented,,,,,,,,,,,,,,,,,urn-finalfeed,,consented,Spreadsheet1,,,END TASK,,,,,5579,,,,,0,1,0,,,,,,
